Transaction_ID,Date,Region,Department,Product_Category,Revenue,Expenses,Profit,Budget_Target,Quarter,Year
TXN00001,2024-12-02,North,Sales,Dairy,480092,376060.98,104031.02,555440.58,Q4,2024
TXN00002,2025-03-24,North,Finance,Personal Care,175461,87956.4,87504.6,190504.96,Q1,2025
TXN00003,2024-04-23,East,Operations,Dairy,122110,102997.64,19112.36,142882.73,Q2,2024
TXN00004,2024-08-19,South,Sales,Snacks,237064,165830.97,71233.03,275401.75,Q3,2024
TXN00005,2024-01-24,East,Sales,Home Care,184123,112414.07,71708.93,194003.71,Q1,2024
TXN00006,2025-05-20,East,Finance,Packaged Foods,148032,100755.19,47276.81,161028.46,Q2,2025
TXN00007,2025-01-03,Central,Operations,Personal Care,56778,31291.07,25486.93,67849.91,Q1,2025
TXN00008,2024-06-09,North,Supply Chain,Personal Care,275734,164781.67,110952.33,316536.95,Q2,2024
TXN00009,2024-12-31,North,Supply Chain,Personal Care,219211,111016.67,108194.33,260782.67,Q4,2024
TXN00010,2025-09-21,South,Sales,Snacks,98557,62239.68,36317.32,112910.08,Q3,2025
TXN00011,2024-02-14,West,Finance,Snacks,229743,134603.72,95139.28,242887.32,Q1,2024
TXN00012,2024-06-01,Central,Supply Chain,Snacks,176774,120027.97,56746.03,205431.61,Q2,2024
TXN00013,2025-06-11,West,Finance,Personal Care,118460,59701.86,58758.14,129559.12,Q2,2025
TXN00014,2024-05-06,Central,Marketing,Personal Care,97425,49736.56,47688.44,112889.21,Q2,2024
TXN00015,2025-03-04,West,Sales,Snacks,259456,147333.2,112122.8,298170.84,Q1,2025
TXN00016,2024-06-05,North,Sales,Personal Care,171359,89651.0,81708.0,185647.05,Q2,2024
TXN00017,2024-06-08,Central,Sales,Snacks,161222,109346.94,51875.06,192757.48,Q2,2024
TXN00018,2025-02-01,West,Supply Chain,Dairy,145067,109756.76,35310.24,158438.76,Q1,2025
TXN00019,2024-11-19,North,Supply Chain,Snacks,183181,103693.48,79487.52,209786.63,Q4,2024
TXN00020,2025-04-29,West,Operations,Home Care,89209,59377.02,29831.98,102896.85,Q2,2025
TXN00021,2025-08-16,East,Sales,Snacks,81850,45722.25,36127.75,94383.8,Q3,2025
TXN00022,2024-01-22,East,Finance,Packaged Foods,53342,38139.26,15202.74,58797.16,Q1,2024
TXN00023,2025-09-21,Central,Supply Chain,Snacks,71298,40084.24,31213.76,76141.75,Q3,2025
TXN00024,2024-06-16,East,Supply Chain,Beverages,151478,105003.93,46474.07,178796.66,Q2,2024
TXN00025,2024-12-25,East,Marketing,Personal Care,408471,242868.64,165602.36,485913.4,Q4,2024
TXN00026,2025-07-25,Central,Marketing,Home Care,91576,56191.6,35384.4,97983.25,Q3,2025
TXN00027,2025-01-14,North,Operations,Home Care,168723,112127.32,56595.68,188439.28,Q1,2025
TXN00028,2025-09-14,East,Marketing,Dairy,209282,176624.38,32657.62,235535.08,Q3,2025
TXN00029,2025-09-05,West,Marketing,Personal Care,242640,149255.75,93384.25,280198.52,Q3,2025
TXN00030,2024-05-21,South,Operations,Beverages,249536,169168.47,80367.53,278680.26,Q2,2024
TXN00031,2025-11-24,South,Operations,Beverages,400225,245531.52,154693.48,429844.72,Q4,2025
TXN00032,2025-06-17,West,Operations,Personal Care,78686,42019.59,36666.41,83266.45,Q2,2025
TXN00033,2025-01-03,South,Finance,Snacks,180512,107095.19,73416.81,198816.19,Q1,2025
TXN00034,2025-02-24,East,Operations,Personal Care,49186,30687.25,18498.75,52931.28,Q1,2025
TXN00035,2024-01-08,South,Operations,Home Care,95378,58631.83,36746.17,114153.32,Q1,2024
TXN00036,2025-05-29,Central,Sales,Packaged Foods,111400,75994.63,35405.37,126449.91,Q2,2025
TXN00037,2024-10-22,Central,Supply Chain,Beverages,104268,63841.72,40426.28,119816.1,Q4,2024
TXN00038,2024-08-05,South,Finance,Packaged Foods,155848,118677.66,37170.34,166469.56,Q3,2024
TXN00039,2025-04-12,North,Supply Chain,Dairy,255492,215066.28,40425.72,303768.23,Q2,2025
TXN00040,2025-09-01,Central,Finance,Home Care,219151,137021.34,82129.66,259287.61,Q3,2025
TXN00041,2024-08-16,West,Supply Chain,Beverages,130397,81178.27,49218.73,137561.03,Q3,2024
TXN00042,2025-03-26,East,Marketing,Packaged Foods,204853,148944.92,55908.08,242958.22,Q1,2025
TXN00043,2024-10-29,Central,Supply Chain,Personal Care,217424,124845.17,92578.83,241943.65,Q4,2024
TXN00044,2025-12-30,West,Supply Chain,Snacks,417899,235101.41,182797.59,482885.43,Q4,2025
TXN00045,2024-11-01,South,Finance,Beverages,107022,64758.43,42263.57,126299.58,Q4,2024
TXN00046,2024-10-02,South,Finance,Personal Care,289191,163698.72,125492.28,316026.98,Q4,2024
TXN00047,2025-01-21,East,Operations,Packaged Foods,137728,105300.0,32428.0,160066.2,Q1,2025
TXN00048,2025-04-09,North,Operations,Packaged Foods,292270,216469.69,75800.31,339636.87,Q2,2025
TXN00049,2025-01-04,Central,Finance,Personal Care,153663,83309.37,70353.63,176106.26,Q1,2025
TXN00050,2024-02-05,East,Supply Chain,Packaged Foods,66728,48487.02,18240.98,77745.38,Q1,2024
TXN00051,2025-12-16,South,Marketing,Packaged Foods,459376,365533.97,93842.03,531832.99,Q4,2025
TXN00052,2024-05-18,East,Finance,Snacks,226400,155818.18,70581.82,238853.87,Q2,2024
TXN00053,2024-10-28,South,Operations,Home Care,293976,218050.75,75925.25,324859.71,Q4,2024
TXN00054,2025-02-20,South,Sales,Dairy,211744,175075.33,36668.67,253132.32,Q1,2025
TXN00055,2024-04-06,South,Supply Chain,Personal Care,238958,147177.1,91780.9,257891.26,Q2,2024
TXN00056,2025-10-01,Central,Sales,Home Care,83402,57574.28,25827.72,91735.96,Q4,2025
TXN00057,2024-01-22,West,Operations,Packaged Foods,210543,160175.22,50367.78,248685.02,Q1,2024
TXN00058,2024-06-25,Central,Sales,Beverages,48684,30251.06,18432.94,57539.38,Q2,2024
TXN00059,2025-02-11,Central,Marketing,Snacks,55780,35007.36,20772.64,59230.97,Q1,2025
TXN00060,2024-06-15,West,Marketing,Home Care,144270,104116.27,40153.73,153556.87,Q2,2024
TXN00061,2024-02-26,South,Finance,Personal Care,97103,54572.84,42530.16,104117.53,Q1,2024
TXN00062,2025-03-10,East,Finance,Home Care,77820,52704.48,25115.52,84741.74,Q1,2025
TXN00063,2024-03-10,West,Supply Chain,Home Care,279425,196927.54,82497.46,327275.76,Q1,2024
TXN00064,2025-10-08,Central,Marketing,Beverages,285013,179733.58,105279.42,306026.58,Q4,2025
TXN00065,2024-02-19,South,Supply Chain,Home Care,63119,41615.95,21503.05,69831.84,Q1,2024
TXN00066,2025-04-08,North,Operations,Dairy,112406,81846.23,30559.77,123056.56,Q2,2025
TXN00067,2024-03-30,West,Finance,Snacks,278020,171316.22,106703.78,298559.72,Q1,2024
TXN00068,2025-11-12,South,Supply Chain,Home Care,177760,127919.79,49840.21,201990.36,Q4,2025
TXN00069,2025-03-26,Central,Supply Chain,Personal Care,82360,45726.79,36633.21,89861.9,Q1,2025
TXN00070,2024-04-11,South,Sales,Home Care,57484,40613.56,16870.44,60564.69,Q2,2024
TXN00071,2024-10-30,West,Supply Chain,Home Care,156616,102884.43,53731.57,186789.88,Q4,2024
TXN00072,2024-11-08,North,Operations,Personal Care,439568,264575.98,174992.02,489597.69,Q4,2024
